park_code,name,state_code,established_year
acad,Acadia National Park,ME,1919
arch,Arches National Park,UT,1971
badl,Badlands National Park,SD,1978
bibe,Big Bend National Park,TX,1944
bisc,Biscayne National Park,FL,1980
blca,Black Canyon of the Gunnison National Park,CO,1999
brca,Bryce Canyon National Park,UT,1928
cany,Canyonlands National Park,UT,1964
cave,Carlsbad Caverns National Park,NM,1930
crla,Crater Lake National Park,OR,1902
cuva,Cuyahoga Valley National Park,OH,2000
deva,Death Valley National Park,CA,1994
dena,Denali National Park,AK,1917
drto,Dry Tortugas National Park,FL,1992
ever,Everglades National Park,FL,1947
gaar,Gates of the Arctic National Park,AK,1980
jeff,Gateway Arch National Park,MO,2018
glac,Glacier National Park,MT,1910
grca,Grand Canyon National Park,AZ,1919
grte,Grand Teton National Park,WY,1929
