park_code,park_name,state_code,document,source_url
acad,Acadia National Park,ME,acad-learn-about.html,https://www.nps.gov/acad/learn/index.htm
arch,Arches National Park,UT,arch-learn-about.html,https://www.nps.gov/arch/learn/index.htm
badl,Badlands National Park,SD,badl-learn-about.html,https://www.nps.gov/badl/learn/index.htm
bibe,Big Bend National Park,TX,bibe-learn-about.html,https://www.nps.gov/bibe/learn/index.htm
bisc,Biscayne National Park,FL,bisc-learn-about.html,https://www.nps.gov/bisc/learn/index.htm
blca,Black Canyon of the Gunnison National Park,CO,blca-learn-about.html,https://www.nps.gov/blca/learn/index.htm
brca,Bryce Canyon National Park,UT,brca-learn-about.html,https://www.nps.gov/brca/learn/index.htm
cany,Canyonlands National Park,UT,cany-learn-about.html,https://www.nps.gov/cany/learn/index.htm
cave,Carlsbad Caverns National Park,NM,cave-learn-about.html,https://www.nps.gov/cave/learn/index.htm
crla,Crater Lake National Park,OR,crla-learn-about.html,https://www.nps.gov/crla/learn/index.htm
cuva,Cuyahoga Valley National Park,OH,cuva-learn-about.html,https://www.nps.gov/cuva/learn/index.htm
deva,Death Valley National Park,CA,deva-learn-about.html,https://www.nps.gov/deva/learn/index.htm
dena,Denali National Park,AK,dena-learn-about.html,https://www.nps.gov/dena/learn/index.htm
drto,Dry Tortugas National Park,FL,drto-learn-about.html,https://www.nps.gov/drto/learn/index.htm
ever,Everglades National Park,FL,ever-learn-about.html,https://www.nps.gov/ever/learn/index.htm
gaar,Gates of the Arctic National Park,AK,gaar-learn-about.html,https://www.nps.gov/gaar/learn/index.htm
glac,Glacier National Park,MT,glac-learn-about.html,https://www.nps.gov/glac/learn/index.htm
grca,Grand Canyon National Park,AZ,grca-learn-about.html,https://www.nps.gov/grca/learn/index.htm
grte,Grand Teton National Park,WY,grte-learn-about.html,https://www.nps.gov/grte/learn/index.htm
jeff,Gateway Arch National Park,MO,jeff-learn-about.html,https://www.nps.gov/jeff/learn/index.htm
